Designator,Mid X,Mid Y,Layer,Rotation
C1,64.77,25.40,Top,90
C2,60.96,25.40,Top,270
C3,62.23,31.75,Top,270
C4,58.42,31.75,Top,90
C5,58.42,19.05,Top,270
C6,36.83,16.51,Top,0
IC01,48.26,34.29,Top,90
IC2,34.29,26.67,Top,90
IC04,35.56,34.29,Top,0
IC05,68.58,27.94,Top,180
IC06,64.77,38.10,Top,270
R1,49.53,16.51,Top,0
R2,49.53,12.70,Top,0
R3,57.15,25.40,Top,270
R4,52.07,27.94,Top,180
R5,44.45,27.94,Top,180
R6,41.91,34.29,Top,270
R7,43.18,16.51,Top,180
R8,43.18,22.86,Top,270
R9,52.07,24.13,Top,180
R11,66.04,49.53,Top,180
R12,78.74,8.89,Top,180
R13,66.04,44.45,Top,0
